replicate	window	start_ps	end_ps	width_ps	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	eligible	failure_reasons	normalized_violation_score	D_excluded_from_closest_rule
rep08	0.5-2.5 ns	500.0	2500.0	2000.0	0.9752955883664599	0.6243069007898171	0.7471082048488621	750	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	5.04666346318287	TRUE
rep08	0.5-3 ns	500.0	3000.0	2500.0	0.9288300998426648	0.4474528952586832	0.6793558219409955	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	14.15932558441172	TRUE
rep08	0.5-3.5 ns	500.0	3500.0	3000.0	0.731669904517541	0.30027848081362307	0.5672191625527535	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	53.11073776654557	TRUE
rep08	0.5-4 ns	500.0	4000.0	3500.0	0.4653745799917811	0.2123879301401841	0.4506159200520288	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	106.24311300855244	TRUE
rep08	0.5-4.5 ns	500.0	4500.0	4000.0	0.3132798786771174	0.17850153885296574	0.3707690720135314	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	136.63732101119712	TRUE
rep08	0.5-5 ns	500.0	5000.0	4500.0	0.24552495565710952	0.16587812046335915	0.3208381076543803	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	150.1863842925419	TRUE
rep08	1-2.5 ns	1000.0	2500.0	1500.0	0.9750884919132804	0.5496783103532923	0.6521931208673445	750	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	5.854236050052908	TRUE
rep08	1-3 ns	1000.0	3000.0	2000.0	0.9106692660624395	0.3472743385400767	0.5551086339076059	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	18.08072118534113	TRUE
rep08	1-3.5 ns	1000.0	3500.0	2500.0	0.5564885744574469	0.19070263200814325	0.3859927833526455	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	88.13864890475152	TRUE
rep08	1-4 ns	1000.0	4000.0	3000.0	0.16881163146910827	0.10642569542103002	0.22815118595672515	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	165.56449774154905	TRUE
rep08	1-4.5 ns	1000.0	4500.0	3500.0	0.042924047449031444	0.08283438247004016	0.14178596905671245	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	190.74121105139446	TRUE
rep08	1-5 ns	1000.0	5000.0	4000.0	0.014869795503084093	0.08059013393336689	0.10229889699666457	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	196.35932539230384	TRUE
rep08	1.5-3 ns	1500.0	3000.0	1500.0	0.8601263497132965	0.20845072193719252	0.4237271868169248	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	28.251436801038118	TRUE
