observable_id	kind	source_id	J_h_normalized__CC_FOURIER_1	J_h_normalized__CC_FOURIER_2	J_h_normalized__CC_FOURIER_3	J_h_normalized__CC_FOURIER_4
ANGLE|A|F7-C4-F8	angle	GEO_A	-9.843319518333248e-05	8.04243551599825e-05	5.97663355927481e-05	0.00011721892163693448
ANGLE|A|F7-C4-F9	angle	GEO_A	0.0009867207209662762	-0.0006648858663997137	0.0004502314155933717	0.00020425091265377862
ANGLE|A|F7-C4-C3	angle	GEO_A	-0.0013087650265364002	0.0009899910539102083	-0.0004199325034230315	-7.198592541002348e-05
ANGLE|A|F8-C4-F9	angle	GEO_A	-0.00011670238772114652	0.00016698504474119347	-0.00019354072224556673	-0.00019578604967704496
ANGLE|A|F8-C4-C3	angle	GEO_A	0.0005106501112695213	-8.006797101410673e-05	-9.095799229623576e-05	-5.732047816613525e-05
ANGLE|A|F9-C4-C3	angle	GEO_A	0.0001441242519210199	-0.0005496791275525013	0.00023155996129059196	1.4016995651279796e-05
ANGLE|A|O1-S1-O2	angle	GEO_A	-3.755274088526495e-05	9.491871457247654e-05	0.0002593144796069359	0.00028861373335355107
ANGLE|A|O1-S1-O3	angle	GEO_A	0.0003305860298796362	-0.0003043792613121653	0.0003455236685862953	0.0001031026690985411
ANGLE|A|O1-S1-C2	angle	GEO_A	-0.0014807778992075484	0.0017528998052076363	-0.0011287440209130316	-0.0007423026121499933
ANGLE|A|O2-S1-O3	angle	GEO_A	-0.00030176657510835815	-0.00016999498233543004	8.224779968106124e-05	-3.408983901300926e-05
ANGLE|A|O2-S1-C2	angle	GEO_A	-0.0007967881927002363	-9.204081710395948e-05	0.00040152099213962576	2.874680377882445e-05
ANGLE|A|O3-S1-C2	angle	GEO_A	0.002264295095676837	-0.001208643306320313	-6.482788942842099e-05	0.0002998496188222864
ANGLE|A|C1-C3-C4	angle	GEO_A	1.480431914209293e-05	-0.0025493902056644008	0.003082064119669296	0.0003213683881266422
ANGLE|A|C2-C1-C3	angle	GEO_A	-0.007190224780913608	0.0033696133262542645	0.00129087503925896	0.00037568924670734814
BOND|B|S1-O1	bond	GEO_B_REVISED	-0.00010926715025240143	0.00029270768028644395	-6.652351542573302e-05	-9.32095895644506e-05
BOND|B|S1-O2	bond	GEO_B_REVISED	0.0001737013774980214	-0.0004551667510602024	0.0004193109239136314	-0.00014824716932714376
BOND|B|S1-O3	bond	GEO_B_REVISED	-0.000402999939430444	0.0005114205669697198	-7.585658983778091e-05	0.0002884834059382088
