observable_id	source_id	kind	variable_id	J_h_normalized	J_2h_normalized	J_tight_normalized	E_normalized	R_step	R_step_limit	R_conv	R_conv_limit	signal	uncertainty	finite_difference_status
BOND|A|F6-C3	GEO_A	bond	CC_FOURIER_3	0.00017436836842632297	0.00020428258489551136	2.0809736788163077e-05	0.00018725916261035222		0.10		0.05	0.00017436836842632297	0.00018725916261035222	UNIDENTIFIABLE
BOND|A|F6-C3	GEO_A	bond	CC_FOURIER_4	-0.00029523625585837988	-5.8829870653003837e-05	2.8570503863350697e-06	0.00053723978747199832		0.10		0.05	0.00029523625585837988	0.00053723978747199832	UNIDENTIFIABLE
BOND|A|F7-C4	GEO_A	bond	CC_FOURIER_1	0.0003389799217003701	0.00031432096502026892	0.00029441956063710941	7.7392215688851511e-05	0.072744593710472427	0.10	0.13145427858894937	0.05	0.0003389799217003701	7.7392215688851511e-05	REVIEW
BOND|A|F7-C4	GEO_A	bond	CC_FOURIER_2	-0.00019901893481774391	-0.00053629022576437977	-0.00026514709612155849	0.00041002231782696718		0.10		0.05	0.00019901893481774391	0.00041002231782696718	UNIDENTIFIABLE
BOND|A|F7-C4	GEO_A	bond	CC_FOURIER_3	0.00053366192492029199	0.00016639453853369574	0.00019630832781539689	0.00070997564076612967		0.10		0.05	0.00053366192492029199	0.00070997564076612967	UNIDENTIFIABLE
BOND|A|F7-C4	GEO_A	bond	CC_FOURIER_4	-0.00016155925549545195	5.5496710785042488e-06	-8.864826577935511e-06	0.00032367843641390386		0.10		0.05	0.00016155925549545195	0.00032367843641390386	UNIDENTIFIABLE
BOND|A|F8-C4	GEO_A	bond	CC_FOURIER_1	-1.6526451514154377e-05	9.2481578422549425e-05	5.9138344577798209e-05	0.00019284572399830529		0.10		0.05	1.6526451514154377e-05	0.00019284572399830529	UNIDENTIFIABLE
BOND|A|F8-C4	GEO_A	bond	CC_FOURIER_2	3.7161910605464241e-05	-0.00029594826957786815	6.8087199437222918e-06	0.00037008623644117219		0.10		0.05	3.7161910605464241e-05	0.00037008623644117219	UNIDENTIFIABLE
BOND|A|F8-C4	GEO_A	bond	CC_FOURIER_3	0.00021498668028970748	-9.4042859218879116e-06	-1.7880147072776173e-05	0.00046261245086452453		0.10		0.05	0.00021498668028970748	0.00046261245086452453	UNIDENTIFIABLE
BOND|A|F8-C4	GEO_A	bond	CC_FOURIER_4	0.00019624854696309094	1.4073007019545068e-05	-3.8208342064078361e-05	0.00042050750990460002		0.10		0.05	0.00019624854696309094	0.00042050750990460002	UNIDENTIFIABLE
BOND|A|F9-C4	GEO_A	bond	CC_FOURIER_1	-0.0003365302242807348	-0.00052960645749952932	-0.00020052455605227651	0.00033725479941000867		0.10		0.05	0.0003365302242807348	0.00033725479941000867	UNIDENTIFIABLE
BOND|A|F9-C4	GEO_A	bond	CC_FOURIER_2	0.00031847404844865195	0.00034520769258299068	0.0001263909975355304	0.0002254395606379666	0.07744220279190836	0.10	0.60313564589891977	0.05	0.00031847404844865195	0.0002254395606379666	REVIEW
BOND|A|F9-C4	GEO_A	bond	CC_FOURIER_3	-0.00031502788610594101	-0.00020848884835678185	-0.00012893156413706621	0.00029799001700398094	0.33818922847144728	0.10	0.59072967878879235	0.05	0.00031502788610594101	0.00029799001700398094	REVIEW
BOND|A|F9-C4	GEO_A	bond	CC_FOURIER_4	-0.00016553887161725329	-7.1948561774586169e-05	1.2468612405924782e-05	0.00027547287479646294		0.10		0.05	0.00016553887161725329	0.00027547287479646294	UNIDENTIFIABLE
BOND|A|C1-C2	GEO_A	bond	CC_FOURIER_1	0.00017767419370412759	0.00039501924546254702	0.00044181536921577251	0.00049149594268865153		0.10		0.05	0.00017767419370412759	0.00049149594268865153	UNIDENTIFIABLE
BOND|A|C1-C2	GEO_A	bond	CC_FOURIER_2	-0.0013306568474192532	0.00031447972248115064	-0.00042882719589108493	0.0025550775425436027		0.10		0.05	0.0013306568474192532	0.0025550775425436027	UNIDENTIFIABLE
BOND|A|C1-C2	GEO_A	bond	CC_FOURIER_3	0.0010848472037680277	0.00045790319153002639	0.000515148787482701	0.001203200517935492		0.10		0.05	0.0010848472037680277	0.001203200517935492	UNIDENTIFIABLE
BOND|A|C1-C2	GEO_A	bond	CC_FOURIER_4	1.7237229386274648e-05	0.00010999254614077362	9.5402605163686556e-05	0.00017566667829071767		0.10		0.05	1.7237229386274648e-05	0.00017566667829071767	UNIDENTIFIABLE
BOND|A|C1-C3	GEO_A	bond	CC_FOURIER_1	0.00076009069618936944	-0.00042746943089986411	6.4202501043703482e-05	0.0018934580378147119		0.10		0.05	0.00076009069618936944	0.0018934580378147119	UNIDENTIFIABLE
BOND|A|C1-C3	GEO_A	bond	CC_FOURIER_2	-0.00099124213619598443	-0.00039003466252995834	0.00010082225941318149	0.0017013831905208937		0.10		0.05	0.00099124213619598443	0.0017013831905208937	UNIDENTIFIABLE
BOND|A|C1-C3	GEO_A	bond	CC_FOURIER_3	0.0010588376920593028	-8.8365052056494286e-05	3.5995938131652165e-05	0.0021766025875612376		0.10		0.05	0.0010588376920593028	0.0021766025875612376	UNIDENTIFIABLE
BOND|A|C1-C3	GEO_A	bond	CC_FOURIER_4	0.00071838122808788141	0.00029273909826715226	5.6754071936598923e-05	0.0010920152718072655		0.10		0.05	0.00071838122808788141	0.0010920152718072655	UNIDENTIFIABLE
