observable_id	new_primary_base	v2_primary_base	v2_tight_base	absolute_difference	compatibility_envelope	status
ANGLE|B|F8-C4-C3	113.48326749860614	113.48326749860614	113.48753098144194	0.0	0.00426348283581114	PASS
ANGLE|B|F9-C4-C3	115.35547370016128	115.35547370016128	115.35497545955748	0.0	0.000498240603818879	PASS
ANGLE|B|O1-S1-O2	112.34539578513792	112.34539578513792	112.3443645569582	0.0	0.0010312281797868951	PASS
ANGLE|B|O1-S1-O3	112.91277033302448	112.91277033302448	112.91336917224079	0.0	0.0005988392163239884	PASS
ANGLE|B|O1-S1-C2	106.43287112224134	106.43287112224134	106.43909401916056	0.0	0.006222896919241173	PASS
ANGLE|B|O2-S1-O3	112.5094277388703	112.5094277388703	112.50871267594805	0.0	0.0007150629223586509	PASS
ANGLE|B|O2-S1-C2	105.55493272814581	105.55493272814581	105.5509301835659	0.0	0.004002544579978776	PASS
ANGLE|B|O3-S1-C2	106.41966610931547	106.41966610931547	106.41871707047751	0.0	0.0009490388379739377	PASS
ANGLE|B|C1-C3-C4	116.52412561628492	116.52412561628492	116.52558415137338	0.0	0.0014585350884751666	PASS
ANGLE|B|C2-C1-C3	115.25168032042023	115.25168032042023	115.25046088741568	0.0	0.0012194330045652965	PASS
PES|T_CC_000	23.30270440596678	23.30270440596678	23.30271239777605	0.0	7.991809274522455e-06	PASS
PES|T_CC_030	14.790527584902964	14.790527584902964	14.790529510583891	0.0	1.9256809282176323e-06	PASS
PES|T_CC_060	5.771764405250478	5.771764405250478	5.7717737836185465	0.0	9.37836806895199e-06	PASS
PES|T_CC_090	6.987667628515775	6.987667628515775	6.987656111257887	0.0	1.1517257887988638e-05	PASS
PES|T_CC_120	4.292526538488767	4.292526538488767	4.292533659121893	0.0	7.1206331268511344e-06	PASS
PES|T_CC_150	1.9745024797335087	1.9745024797335087	1.9745091913969885	0.0	6.71166348002473e-06	PASS
PES|T_CC_180	-2.652564605371893	-2.652564605371893	-2.6525571448549234	0.0	7.460516970587423e-06	PASS
PES|T_CC_210	-1.0526017336990918	-1.0526017336990918	-1.0525900551572658	0.0	1.1678541826193442e-05	PASS
PES|T_CC_240	5.682696999692878	5.682696999692878	5.682707592885039	0.0	1.0593192160940465e-05	PASS
PES|T_CC_270	4.393529869758365	4.393529869758365	4.393544103905832	0.0	1.4234147467079414e-05	PASS
PES|T_CC_330	8.583554865532983	8.583554865532983	8.583560055976577	0.0	5.1904435933004624e-06	PASS
PES|T_CS_000	8.458990653478489	8.458990653478489	8.45900272368284	0.0	1.2070204350828181e-05	PASS
PES|T_CS_010	9.073791476707935	9.073791476707935	9.073802944844886	0.0	1.1468136950448912e-05	PASS
PES|T_CS_020	8.486691527868308	8.486691527868308	8.486675566571702	0.0	1.596129660634283e-05	PASS
PES|T_CS_030	6.957928296985899	6.957928296985899	6.957913738342734	0.0	1.4558643164947046e-05	PASS
PES|T_CS_040	4.569652927771989	4.569652927771989	4.569657762469407	0.0	4.834697419009917e-06	PASS
PES|T_CS_050	2.245238196010038	2.245238196010038	2.24524343432457	0.0	5.238314537919031e-06	PASS
PES|T_CS_060	0.5820062237119981	0.5820062237119981	0.5820195014490918	0.0	1.3277737093712616e-05	PASS
PES|T_CS_070	-0.06079094633484704	-0.06079094633484704	-0.06077787029541109	0.0	1.3076039435949816e-05	PASS
PES|T_CS_080	0.4871339492992352	0.4871339492992352	0.4871468284854206	0.0	1.287918618552661e-05	PASS
PES|T_CS_090	2.1128881361835563	2.1128881361835563	2.112901605501673	0.0	1.3469318117004367e-05	PASS
PES|T_CS_100	4.395397253519359	4.395397253519359	4.395404060951721	0.0	6.807432361960584e-06	PASS
PES|T_CS_110	6.726334232993547	6.726334232993547	6.726342024874283	0.0	7.791880736335419e-06	PASS
PES|T_CS_120	8.446547603703156	8.446547603703156	8.44655288675263	0.0	5.283049473597932e-06	PASS
PES|T_CC_300_ANCHOR_ZERO	0.0	0.0	0.0	0.0	1.5	PASS
AB_ENERGY|GEO_B_REVISED-GEO_A	-3.1576455697275336	-3.1576455697275336	-3.1576821671916826	0.0	3.659746414911858e-05	PASS
