observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0006296793766684139	-0.0010634754161468823	-0.011832414239228995	0.01294687846836844	-0.0003548251916922715	-0.024196868776934423	0.0005665202434688872	-0.007574332590041323	-0.00023937579477861017	-2.8830472235679394e-05
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0008890778525592717	0.004236442423370681	0.04836880369327834	-0.014546347993070563	-0.006812689555575653	-0.048763367500788565	0.002391781407142117	0.008256558448168458	-0.0005041303045257591	0.000651488756529473
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0006952572875742428	0.00035185013876412965	0.0048857781700748885	0.012068692029098523	-0.0009443557283918997	-0.0016230105045530127	-0.00016204558609285796	0.1245247582556426	0.0001670064691675287	-0.00011288290105223907
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0004719484309794256	0.0009259721123178419	0.002245776729770835	0.00848717320474018	-0.0016177736202429697	-0.0022759522826669236	0.0005155724071976291	0.12788110272595402	0.00011038456673466302	0.0004309963112784093
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0007954074086043068	-0.003502013937157727	-0.004132558598692705	-0.0034775084704584415	0.006374732236036963	0.004320062155625358	-0.00025639017250103554	-0.11191513221721865	-0.000379189194662307	-0.0010195606668418392
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0004373562794954242	0.0004590241936105553	0.003598532086830352	0.01044796631008858	-0.0008227546814040896	-0.0012335536705572103	0.00019238661069607938	0.12636914184462592	0.0003326570592964821	7.28452836260809e-05
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0009448830874404769	0.0012012173860688822	0.0015685801646666624	-0.012087706728158523	-0.002191346842598969	-0.0042758419023567204	0.00013198501660750898	-0.10617987160941282	0.00015336255170388216	0.0005795334550333227
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0006592581407214948	0.0008817231966729439	-0.006390774430041123	-0.010769466619523193	-0.001413707327612061	0.004185794619486657	-0.0003394962320086792	-0.10283672059935256	-0.0002776127498679923	0.00012285174110875064
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03491025999502618	0.007785126936252564	0.0016108523727489383	0.0008194973373078115	0.10017850153855569	-0.003125909342624682	0.004454024893501394	-0.00113061388622121	-0.001254856765781635	-0.00012649500525520668
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03462003730164095	0.0063143986053568356	0.0013043836708119666	0.000936409260376334	0.10425670358104847	-0.0010650540509087125	-0.0008698013136090078	-0.0006894348838103975	0.0016056295436253924	0.00018645875449602864
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.04149613997219855	-0.008116489941326762	-0.001583866443625355	-0.0038886196016559675	-0.11656608550803876	0.00803242218181674	-0.0036273063695180813	0.004420991398187484	0.005219588578765341	-0.0007656597795682864
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03448776699001546	0.007151040755859534	0.00032154867726862275	0.001178696445706414	0.10052159395045401	-0.002932976941572554	0.0041520994365959645	-0.0012957109006026181	8.673978801639569e-05	-8.563863095387176e-05
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.036541032187112715	-0.007446517570556581	-0.003511264776102552	0.0010846772913028358	-0.12132993770038866	-0.005868535731848403	0.009100515795350426	-0.0014026936728713621	-0.0023917401220552277	-0.0004544597535096591
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.041785694714857644	-0.008905102280272192	0.001343232085559841	-0.0005801293013710069	-0.11356052926921584	0.005986994476689563	-0.014231639931140383	0.0005710222502350538	-0.003326702161904526	0.0012357538400848017
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	0.0008071608380871123	-0.002740189815296999	-0.09026802259416127	-0.0576090957417948	0.0025043052465109346	0.01589308819585465	0.0025902965777909364	0.03020950035568251	-0.0004164309793925289	-0.0007452429508598067
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-0.002584699693127644	-0.006199572712614139	-0.08228926207843587	-0.01323016384325657	0.008307754451465938	0.029085348044099367	-0.02797655782192778	0.00637584071755868	0.010660887759996188	-0.003405609712876948
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.4761644014148315	-0.002715995176560342	-0.0007051837715432718	-0.00023402564243898044	-0.016990137817054742	0.0007110865166369088	-0.00045118180191002405	0.00016130238818246043	-0.00041000090768140827	0.00012685577077984099
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47619102746809805	-0.0032107856266505586	-0.001034549905983469	-0.00011854404269626447	-0.015747858932987604	0.0003599105352050349	-0.0001921835360173417	0.00019903679687892513	0.000279299241333507	0.0001414104804673164
