observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_raw__R_OG2P1-SG3O1	J_2h_raw__R_CG312-SG3O1	J_2h_raw__R_CG312-CG312	J_2h_raw__R_CG302-CG312	J_2h_raw__TH_OG2P1-SG3O1-OG2P1	J_2h_raw__TH_FGA2-CG312-FGA2	J_2h_raw__TH_CG312-CG312-SG3O1	J_2h_raw__TH_FGA3-CG302-FGA3	J_2h_raw__LAMBDA_CS	J_2h_raw__LAMBDA_CC
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	-10.602674048286076	-103.69207165736327	-180.84214147019395	-8.922241994252289	0.08547765267185525	-0.08206266950440266	0.3181704685584812	0.009373870848552457	0.05442441215741667	0.0683799138404595
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.258827065406365	6.97907427041855	21.707689060647795	9.535282403103196	-0.011555959171353436	0.8426744009831069	-0.008233437904728191	-0.00643714571500098	-0.004203589048472622	-0.14626362801173798
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-11.333428159439052	-31.419018064717363	64.85397380708591	14.029154975087721	0.0581778225423939	-0.2183001528427866	-0.11514126111928746	-0.00045677843864666556	0.0671691413393205	-0.09685128800434484
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	8.268077384869343	26.163940176264333	28.191735357779635	14.029731672572154	-0.02066710292064755	-0.206152274927355	0.04540954963828625	-0.008839508703992749	-0.06521208344658191	0.05590872439725558
ANGLE|B|F2-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-1.5591725738737239	-1.30215558612079	42.59907628464887	20.78565456185899	-0.00015219765172247435	-0.18566580234682917	-0.05863349428449993	-0.02420266137437821	-0.04608624032833575	-0.06452562989998967
ANGLE|B|F2-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	5.718716448356531	22.72607567124396	46.72978198097155	-29.482645493217774	-0.021829853595942694	-0.15424855968345597	0.03772933494321151	0.017105269293889336	0.042559040214271704	0.155955604620317
ANGLE|B|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	5.150749743368266	29.246521404662218	17.999343280507674	-1.9295843853157635	-0.010012837838250022	0.835178197099296	-0.018489274656964483	0.0056334466528014104	0.08976440969696853	-0.0036890281289458926
ANGLE|B|F3-C2-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	14.089054937976186	86.83670197630633	-34.78077587174866	0.653541004563607	-0.024020471353260575	-0.19388176476745045	-0.09749104319291746	0.0010728799135115707	-0.05346500525824638	-0.028492575595819858
ANGLE|B|F4-C2-C1	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	20.433616080538286	104.42616110888636	-15.712804163406702	8.577618238238216	-0.07857671915278885	-0.17988777216697827	-0.09481164032564138	-0.007047641609442934	-0.09162474794607078	-0.03125297513989267
ANGLE|B|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	1.3054825045735186	2.450589299694883	25.585554354357498	6.548743642380117	-0.0031970713569329234	0.8350596015026817	0.0001921022443838183	-0.007335116506329342	0.0019027317737396743	0.003260989273385917
