observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_raw__R_OG2P1-SG3O1	J_h_tight_raw__R_CG312-SG3O1	J_h_tight_raw__R_CG312-CG312	J_h_tight_raw__R_CG302-CG312	J_h_tight_raw__TH_OG2P1-SG3O1-OG2P1	J_h_tight_raw__TH_FGA2-CG312-FGA2	J_h_tight_raw__TH_CG312-CG312-SG3O1	J_h_tight_raw__TH_FGA3-CG302-FGA3	J_h_tight_raw__LAMBDA_CS	J_h_tight_raw__LAMBDA_CC
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	1.2235084901632831	7.468940339364849	94.53316805869605	-28.86241488550212	-0.027284887151239445	-0.1936964676332522	0.009024158036893937	0.032740561839801785	-0.0029053609074480846	0.006086679143066931
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.8480483622411725	0.7327948582869226	12.311615712135904	29.463866471729716	-0.0046119795893346804	-0.008142080072794045	-0.0005902840557396871	0.6073327380972628	0.009890745452878491	-0.005963136689786097
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.8539091120240982	2.4483474326189025	5.342598227109363	20.911439935169085	-0.007874437521657285	-0.011042070634779577	0.002351830031621205	0.6235315226148046	0.010082121451233661	0.018392766417463235
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-1.6482288744086304	-8.531630898893638	-10.180982588096299	-8.914671332327373	0.03143438772690388	0.02106749741167846	-0.0010664202615444651	-0.5455803023464156	-0.026713588797946386	-0.03510953485005075
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.8489633866517465	0.906357699548721	8.519600106062342	25.312152860166748	-0.00406303910828143	-0.006230481933847898	0.0009107376191010985	0.6162007540358161	0.008128879938880118	0.005112432921521304
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	2.068301386970006	3.204461561480798	2.4500367123962974	-30.09618001822645	-0.011873223580209924	-0.020917073235573014	0.0004774320834712853	-0.5183440104865866	0.01488874979514776	0.01048799976643977
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-1.8778793157707696	1.9878983668348837	-14.140261415292343	-25.29573064587254	-0.006047088471213158	0.020794976007351806	-0.0016833979565546997	-0.5008126413067728	-0.011386296585840228	0.010039112403461559
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-85.44865383474587	19.210784218500976	4.07078170031383	2.1832313774368117	0.4885190060734459	-0.015049122380652591	0.021674697058642778	-0.005379269504949491	-0.0575463775923879	-0.009222990158832545
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.51832613727106	15.545578538514349	3.39994612538419	2.3485340642181995	0.5087054903372916	-0.005403096931310358	-0.0040790703317910015	-0.003235172210608539	0.08176908465230781	0.0036956413578081992
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	100.79971689759049	-20.806712958055584	-5.128161960961108	-10.454576184912412	-0.5687463372064059	0.03931418894779881	-0.01829193359156278	0.02139933195266508	0.25587606993653367	-0.05071358718723218
