observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.04090557627456835	-0.008848811979557888	-0.002104537678455265	-0.004115033933087162	-0.11659459237148874	0.008210260146904217	-0.0035751221902351814	0.004007629593660461	0.0052821144914313245	-0.0006569772702468922
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03475553589151804	0.0070634636617314195	0.00023469616576456877	0.0013103602547883608	0.10063783930402684	-0.0029972388883040177	0.004054211507133148	-0.001344069518795777	5.082394738672237e-05	-6.771988538808905e-05
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.037296900001393886	-0.007015157278707023	-0.003362890196121644	0.0025072608490930813	-0.12158526785791347	-0.006264745575974946	0.00893208195625568	-0.001340807337445845	-0.002613759729431348	-0.000476455882198468
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.04195388068599406	-0.00870547677707609	0.0013485145240873472	-0.0012342957077507385	-0.11371240630236108	0.006367400088589143	-0.014116781332146963	0.0008642507078831311	-0.0034366848371305543	0.0012120983867106238
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-7.601018513850309e-05	-0.001608827686636388	-0.08923851301303555	-0.05752837874768277	0.003122293036412103	0.017035847218759774	0.0026827271903889067	0.02988898252503027	0.000308809388814188	0.0014163779650095388
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-0.0014025713253474606	-0.006813364406979304	-0.08070368528665138	-0.01257376449927959	0.008644696448553089	0.028863988009882397	-0.02750987487126045	0.006059455180867021	0.01119731594541738	-0.0038598337511169603
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.4764649683775792	-0.002557543825887354	-0.0010994580240675234	-0.0003523513107580219	-0.016912036339133962	0.0005561405285027366	-0.0002346485596907113	-0.00012957764429037214	-0.0004435754309849314	0.00011211478847774871
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.4760426433899129	-0.00316488143564047	-0.0006732063442877529	-0.0001334539520805558	-0.01585942352518484	0.0002563096439009735	-0.00045500338611960243	0.0003949697569406564	0.0003364017870439224	-0.00021888765431052643
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47606734360179487	-0.0027135554771517967	-0.0006082941507785162	0.0004011352271336853	-0.01744225449644575	0.000944351111503705	-0.0003161469548805683	0.00021019876039443352	-4.1012708217201694e-05	0.0003664369970235448
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.04288320065458426	0.690827549733025	-0.11844287245403445	0.001039863541952734	0.04635829693773406	0.04513451436208668	-0.041444852771768265	0.0014653417337594542	-0.0017275462082024314	0.0015547888262395944
