observable_id	kind	family	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	endpoint_rounding_raw	binary_arithmetic_bound_raw	uncertainty_envelope_raw	J_h_normalized	J_2h_normalized	J_h_tight_normalized	uncertainty_envelope_normalized	step_disagreement_normalized	convergence_disagreement_normalized
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	R_CG302-CG312	10.0483570428338	10.49348544052009	10.214412493411373	0.004874778110533126	6.60604710153244e-10	0.6160586263743963	0.0025247447023185503	0.0026365874203986657	0.0025664677041336422	0.00015479055398072864	0.00011184271808011535	4.1723001815091934e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	TH_OG2P1-SG3O1-OG2P1	-0.006301484000509561	-0.005965557001701427	-0.0061224224507867575	4.874759214441312e-06	6.606054347448201e-13	0.0005198633077453782	-0.0007916537140953761	-0.0007494512969742872	-0.0007691582605040843	6.53102853812303e-05	4.2202417121088836e-05	2.2495453591291786e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	TH_FGA2-CG312-FGA2	-0.2540323918093179	-0.2543183687029611	-0.2541175590512381	4.8747576279947e-06	6.605926692279517e-13	0.0003760188931913785	-0.03191402000863863	-0.03194994720768885	-0.03192471954598252	4.723915086365626e-05	3.592719905021885e-05	1.0699537343887566e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	TH_CG312-CG312-SG3O1	0.11601367738852986	0.11684422654174398	0.11694045860650704	4.874775975215096e-06	6.606030052413282e-13	0.0017622051471665164	0.014574766607844387	0.014679108271145852	0.014691197879161769	0.00022138535139334673	0.00010434166330146495	0.00011643127131738193
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	TH_FGA3-CG302-FGA3	-0.007330863598085102	-0.007103021402663501	-0.007004055431778511	4.874774686355563e-06	6.606017765018943e-13	0.0005595251364145483	-0.0009209743918228423	-0.0008923506390340437	-0.0008799175711386365	7.029299008558628e-05	2.862375278879861e-05	4.105682068420574e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	LAMBDA_CS	-0.12140841555634552	-0.11159455989961486	-0.11523809446785549	9.749566048515142e-05	1.3212069360015363e-11	0.016081672405705832	-0.0015252506090604006	-0.0014019594084540275	-0.0014477330337326023	0.00020203361125431182	0.00012329120060637308	7.751757532779824e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	LAMBDA_CC	0.11434160877954014	0.09749128942708296	0.11540884893278758	9.749546833185004e-05	1.3212096483219317e-11	0.018015054974036465	0.0014364705085126571	0.0012247804066574874	0.001449878217412366	0.00022632264366100264	0.00021169010185516975	1.3407708899708902e-05
ANGLE|A|F2-C1-C3	angle	CG312-CG312-FGA2	R_OG2P1-SG3O1	4.8393856055284346	5.788007187948807	5.351800568277554	0.004814665835096134	6.711389830229887e-10	1.4658512110045878	0.0012159413840442943	0.0014542915247201713	0.0013446904877111707	0.00036830897465078036	0.000238350140675877	0.00012874910366687635
ANGLE|A|F2-C1-C3	angle	CG312-CG312-FGA2	R_CG312-SG3O1	17.254011192548546	16.545039435371223	16.786383515196235	0.004814663904631624	6.711417464289282e-10	1.1814140984342665	0.004335233428354246	0.004157097571875751	0.0042177375535540195	0.00029684146110170174	0.00017813585647849517	0.00011749587480022663
ANGLE|A|F2-C1-C3	angle	CG312-CG312-FGA2	R_CG312-CG312	18.018973355978574	18.024536719980944	17.759425332791068	0.0048146896925276165	6.711412542260666e-10	0.26992607688240344	0.004527437403726665	0.004528835251527274	0.00446222350918186	6.782147864784522e-05	1.3978478006085662e-06	6.521389454480515e-05
ANGLE|A|F2-C1-C3	angle	CG312-CG312-FGA2	R_CG302-CG312	-28.744919554107184	-27.87968171553956	-28.022112111415254	0.004814656987782551	6.711420143798437e-10	1.592859938247336	-0.007222432787115423	-0.0070050336003770215	-0.007040820583851374	0.0004002211180875066	0.00021739918673840172	0.0001816122032640491
