observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_normalized__R_OG2P1-SG3O1	E_normalized__R_CG312-SG3O1	E_normalized__R_CG312-CG312	E_normalized__R_CG302-CG312	E_normalized__TH_OG2P1-SG3O1-OG2P1	E_normalized__TH_FGA2-CG312-FGA2	E_normalized__TH_CG312-CG312-SG3O1	E_normalized__TH_FGA3-CG302-FGA3	E_normalized__LAMBDA_CS	E_normalized__LAMBDA_CC
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0005055159054211239	0.0002610809025529869	0.00033788436750250845	8.931596395756618e-05	5.1621711177307744e-05	0.00021510558853824437	0.00011029490171939936	7.211766252788585e-05	0.0001285899691312323	0.00032222988706154693
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0005764926334102429	0.0005946808050199698	0.00037837762198595097	0.0002349022172024386	4.985495974533374e-05	0.00015916745967972754	3.832122864018149e-05	0.0002669203822879247	0.00011580363164455716	0.00033341006403991727
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0009345628375150983	0.00015158143181565135	0.00027256874432940437	0.0014757875832008731	0.00020992445865818874	0.0002681973677662009	0.00023298592357743757	0.00067816796416767	0.00017085811173688783	0.00122982327396319
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0006828607536341011	0.0005199949106277664	0.00028723773146872075	0.0001223163314952781	0.00018879617588652125	0.00015575199480497034	0.00026830766970831145	4.702756432349448e-05	0.00016799804739117298	0.00017015210553659522
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0002393422676460777	0.00011559488227004195	0.0005653236846026153	0.0021400663785222946	0.0002454773623668665	0.000385576229825491	0.0002928646990025031	0.0009521052643719338	0.0004938527388586585	0.0003663753054436603
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0008141599464632623	9.67238466953657e-05	0.0005909622567846561	0.0008363864552587639	0.0002825080787875433	0.0007319256399066866	0.000616943068891457	0.00040720469155871924	0.00043186457423254683	0.0013594675148543792
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.00015170970261558695	0.00021426044822006783	0.0002707938381208209	0.0010471971649071278	0.00011377953748014706	4.6560493830009886e-05	9.861425718697854e-05	8.454380070098446e-05	0.0001197660433580733	0.0003114671862051113
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	7.971395710462154e-05	6.599259897905138e-05	0.00039340977695187583	0.0002536458864466609	0.000241145281279886	0.0001993051631825334	7.412788475480884e-05	5.846848346669442e-05	0.00027745872914405683	0.0002793142611101128
ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.0010453995315066458	0.0010458235584547173	0.0005228858282008917	0.00040273222091091943	0.00011453250245365306	0.0003235881829024659	0.00023059124587802932	0.0007967519678242782	9.706650328548087e-05	0.0004938943361753823
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.00037201594327344363	0.00017617921450574324	0.0004406723966400881	0.00021853962128476998	0.00016280489205295595	0.0001875097103924943	0.00017428631357779942	0.0001381537026196619	0.00018633567293890055	8.065268836005719e-05
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.0009064063169462816	0.0009729369803312979	0.00028142308091458384	0.002598880326024253	0.00047608096199386335	0.00066617628698365	0.0004717945458317246	0.0002107642682962693	0.00024782165469928	0.00039961729989067686
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.00036735106762468854	0.00034187241680695864	0.00024938455182908396	0.0012905298328143632	0.00021687119639295536	0.0007293142304533576	0.0002429724502854063	0.0005784953191515208	0.00013932638333918218	0.00021908043225245263
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	0.0018345500121981413	0.0014292043326596914	0.0012623815832478512	0.0008574012650556665	0.0014616769298491999	0.0022998257747732127	0.00024850047957024357	0.0005819582293671761	0.0028340654609666006	0.0031077370264746933
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	0.0014800589567535085	0.0008932589859057642	0.0021652876261366617	0.0011608954039203899	0.000729645041417971	0.0003623152831434378	0.0007542860174702753	0.0003496490840107335	0.0014101271269050027	0.0006022699770790202
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.0003929114520902125	0.00017728226485003385	0.0007039296303483631	0.00035888065140981786	0.0001421689457410949	0.0002564087070847079	0.0004278435368042062	0.0005624095278564746	0.00035995010533029304	6.902273520668884e-05
