atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A	adjacent_prev_id	adjacent_prev_distance_A	delta_vs_adjacent_prev_A	adjacent_next_id	adjacent_next_distance_A	delta_vs_adjacent_next_A
F3	F9	F-F	5	>1-4	3.410628169548698	3.1371134375541923	0.27351473199450593	2.7328981611743375	0.6777300083743607	T_CC_300	3.133015846422077	0.277612323126621	T_CC_000	3.873129684270687	-0.46250151472198864
F3	O1	F-O	3	1-4	2.7121147427969006	2.937497033325123	-0.22538229052822256	2.887527140418184	-0.17541239762128358	T_CC_300	2.93749703332627	-0.22538229052936964	T_CC_000	2.9374970332952053	-0.22538229049830472
F3	O2	F-O	3	1-4	3.306570534768194	3.0040798182652058	0.3024907165029882	2.887527140418184	0.4190433943500098	T_CC_300	3.0040798182735933	0.3024907164946007	T_CC_000	3.004079818335858	0.3024907164323358
F3	O3	F-O	3	1-4	3.727850038153285	3.812480557197225	-0.08463051904394003	2.887527140418184	0.8403228977351009	T_CC_300	3.812480557233121	-0.08463051907983576	T_CC_000	3.8124805572571754	-0.0846305191038903
F3	C1	C-F	2	1-3	2.3345284051714024	2.3345284051597956	1.1606715588641237e-11	2.30773818281683	0.02679022235457218	T_CC_300	2.334528405182655	-1.1252776488390737e-11	T_CC_000	2.334528405181455	-1.0052847443375867e-11
F3	C2	C-F	1	1-2	1.375531098406199	1.3755310983727855	3.3413494193723636e-11	1.330175827384082	0.045355271022117005	T_CC_300	1.3755310983862163	1.9982682175623268e-11	T_CC_000	1.3755310984160338	-9.834799641339487e-12
F3	C3	C-F	3	1-4	3.3565249659222545	3.087062327821754	0.2694626381005003	3.027915086844433	0.32860987907782135	T_CC_300	3.079046117967333	0.2774788479549213	T_CC_000	3.6021802392227404	-0.24565527330048598
F3	C4	C-F	4	>1-4	3.5177571129151315	3.0895997228579213	0.4281573900572102	3.0895997228579213	0.4281573900572102	T_CC_300	3.078523556815413	0.4392335560997185	T_CC_000	3.991910760075738	-0.4741536471606067
F4	F5	F-F	4	>1-4	4.090187747216295	4.342981772372279	-0.2527940251559837	2.7328981611743375	1.3572895860419578	T_CC_300	4.348291299461336	-0.258103552245041	T_CC_000	3.702369056206912	0.38781869100938327
F4	F6	F-F	4	>1-4	4.600382633997718	4.613329318139224	-0.012946684141505571	2.7328981611743375	1.8674844728233806	T_CC_300	4.612616964855121	-0.012234330857403108	T_CC_000	4.518104913717644	0.08227772028007418
F4	F7	F-F	5	>1-4	4.629123503107918	4.574564062289198	0.05455944081871955	2.7328981611743375	1.8962253419335804	T_CC_300	4.569292706217208	0.05983079689070969	T_CC_000	4.4464264190511615	0.18269708405675633
