matrix_id	n_rows	n_columns	singular_index_1based	singular_value	effective_threshold	supported	effective_supported_rank	spectral_uncertainty_delta	machine_only_tolerance	condition_number_2
REMOVE_ANGLES	58	10	5	1.10018194819967	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	6	0.6927386497118386	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	7	0.25334493837438765	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	8	0.19921039128114024	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	9	0.09441227840570111	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	10	0.05649810839134649	0.06245163407970557	False	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_CC	107	10	1	1.3670988287276535	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	2	1.2868804985924513	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	3	1.2172536103188831	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	4	1.129349649128344	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	5	1.1088799058392613	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	6	0.6800943153560809	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	7	0.41939067745711733	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	8	0.3255501258392376	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	9	0.1848690680765176	0.13787256933810094	True	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CC	107	10	10	0.01393498963094122	0.13787256933810094	False	9	0.027574513867620186	3.248059036705862e-14	98.10547872186072
REMOVE_CS	105	10	1	1.4789692786000255	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	2	1.3442651818319225	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	3	1.2625658994196804	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	4	1.1311228359227403	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	5	0.8850543250961742	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	6	0.45435690734357737	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	7	0.4052969787669028	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	8	0.28234682878553624	0.13784466432639497	True	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	9	0.10011776366706322	0.13784466432639497	False	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_CS	105	10	10	0.061095443678926366	0.13784466432639497	False	8	0.027568932865278995	3.448170066211513e-14	24.20752169953004
REMOVE_AB_ENERGY	117	10	1	1.4560932877815653	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	2	1.2658636177043805	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	3	1.2625194996875964	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	4	1.1262799278468947	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	5	0.8384858470827284	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	6	0.5661423169404367	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	7	0.45005524313237844	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	8	0.3428599718793401	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	9	0.2781602570786279	0.13780483535487995	True	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
REMOVE_AB_ENERGY	117	10	10	0.09467832761597034	0.13780483535487995	False	9	0.027560967070975988	3.7828166081875366e-14	15.379372708057335
MVP_EQ_CORE	118	2	1	1.118745721518206	0.06487793267682865	True	2	0.01297558653536573	2.931255130603734e-14	3.309545468465141
MVP_EQ_CORE	118	2	2	0.3380360633138676	0.06487793267682865	True	2	0.01297558653536573	2.931255130603734e-14	3.309545468465141
MVP_EQ_CC_CORE	118	3	1	1.119090960411652	0.07391836991356328	True	3	0.014783673982712657	2.9321597001213935e-14	8.611659026735458
MVP_EQ_CC_CORE	118	3	2	0.34087895230567594	0.07391836991356328	True	3	0.014783673982712657	2.9321597001213935e-14	8.611659026735458
MVP_EQ_CC_CORE	118	3	3	0.12995068162097	0.07391836991356328	True	3	0.014783673982712657	2.9321597001213935e-14	8.611659026735458
MVP_EQ_CC_CS_CORE	118	4	1	1.1674422262564015	0.0907292890444017	True	4	0.01814585780888034	3.05884612524244e-14	9.441396474807927
MVP_EQ_CC_CS_CORE	118	4	2	0.7785532366380091	0.0907292890444017	True	4	0.01814585780888034	3.05884612524244e-14	9.441396474807927
MVP_EQ_CC_CS_CORE	118	4	3	0.33259557743885165	0.0907292890444017	True	4	0.01814585780888034	3.05884612524244e-14	9.441396474807927
MVP_EQ_CC_CS_CORE	118	4	4	0.12365143539638838	0.0907292890444017	True	4	0.01814585780888034	3.05884612524244e-14	9.441396474807927
MVP_SHARED_CC_GUARD	118	4	1	1.4414328550973972	0.10231579897659585	True	4	0.02046315979531917	3.776736188265525e-14	11.52047569449278
MVP_SHARED_CC_GUARD	118	4	2	1.10348255982531	0.10231579897659585	True	4	0.02046315979531917	3.776736188265525e-14	11.52047569449278
MVP_SHARED_CC_GUARD	118	4	3	0.34000341355677194	0.10231579897659585	True	4	0.02046315979531917	3.776736188265525e-14	11.52047569449278
MVP_SHARED_CC_GUARD	118	4	4	0.12511921324450656	0.10231579897659585	True	4	0.02046315979531917	3.776736188265525e-14	11.52047569449278
MVP_SHARED_CC_CS_GUARD	118	5	1	1.4438742288078152	0.11504955975597378	True	5	0.023009911951194756	3.783132895825374e-14	12.467656202378494
MVP_SHARED_CC_CS_GUARD	118	5	2	1.1618243241631774	0.11504955975597378	True	5	0.023009911951194756	3.783132895825374e-14	12.467656202378494
MVP_SHARED_CC_CS_GUARD	118	5	3	0.7608879415647182	0.11504955975597378	True	5	0.023009911951194756	3.783132895825374e-14	12.467656202378494
MVP_SHARED_CC_CS_GUARD	118	5	4	0.33047613443529095	0.11504955975597378	True	5	0.023009911951194756	3.783132895825374e-14	12.467656202378494
MVP_SHARED_CC_CS_GUARD	118	5	5	0.11580959607567322	0.11504955975597378	True	5	0.023009911951194756	3.783132895825374e-14	12.467656202378494
